"Date of Birth","Date of Birth"
"I agree that the data which are necessary for the liquidation of purchase on account and which are used to complete the identy and credit check are transmitted to payolution. My %s can be revoked at any time with effect for the future.","I agree that the data which are necessary for the liquidation of purchase on account and which are used to complete the identy and credit check are transmitted to payolution. My %s can be revoked at any time with effect for the future."
"You have to be 18 years or older to use invoice payment.","You have to be 18 years or older to use invoice payment."
"You have to be 18 years or older to use installment payment.","You have to be 18 years or older to use installment payment."
"consent","consent"
"Accept payolution terms","Accept payolution terms"
"payolution terms","payolution terms"
"You will be redirected to Wirecard Checkout Seamless website when you place an order.","You will be redirected to Wirecard Checkout Seamless website when you place an order."
"Company Trade Registration Number","Company Trade Registration Number"
"Error occured","Error occured"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"You will be redirected in a few seconds.","You will be redirected in a few seconds."
"You will be redirected to Wirecard Checkout Seamless in a few seconds. If not please click on the redirect button.","You will be redirected to Wirecard Checkout Seamless in a few seconds. If not please click on the redirect button."
"Wirecard Checkout Seamless Transaction ID: %s","Wirecard Checkout Seamless Transaction ID: %s"
"Payment has not been processed yet.","Payment has not been processed yet."
"Configuration test ok","Configuration test ok"
"An error occured during the payment process","An error occured during the payment process"
"Production","Production"
"Test without 3-D Secure","Test without 3-D Secure"
"Test with 3-D Secure","Test with 3-D Secure"
"Customer was redirected to Wirecard Checkout Seamless.","Customer was redirected to Wirecard Checkout Seamless."
"Order has been canceled.","Order has been canceled."
"Sorry, your payment has not confirmed by the payment provider.","Sorry, your payment has not confirmed by the payment provider."
"Your order will be processed as soon as we get the payment confirmation from you bank.","Your order will be processed as soon as we get the payment confirmation from you bank."
"The amount has been authorized and captured by Wirecard Checkout Seamless.","The amount has been authorized and captured by Wirecard Checkout Seamless."
